artist,song_name,song_info
Future,Way 2 Sexy with Future  Young Thug,"[82.0, 0.803, 0.597, 11.0, -6.035, 0.0, 0.141, 0.000619, 4.5e-06, 0.323, 0.331, 136.008, 257605.0]"
Future,pushin P feat. Young Thug,"[81.0, 0.773, 0.422, 1.0, -4.572, 0.0, 0.187, 0.00783, 0.00693, 0.129, 0.488, 77.502, 136267.0]"
Future,Mask Off,"[80.0, 0.833, 0.434, 2.0, -8.795, 1.0, 0.431, 0.0102, 0.0219, 0.165, 0.281, 150.062, 204600.0]"
Future,I'M ON ONE feat. Drake,"[79.0, 0.773, 0.707, 11.0, -5.71, 1.0, 0.0568, 0.0103, 1.04e-05, 0.296, 0.113, 76.977, 236187.0]"
Future,Life Is Good feat. Drake,"[72.0, 0.795, 0.574, 2.0, -6.903, 0.0, 0.487, 0.067, 0.0, 0.15, 0.537, 142.053, 237918.0]"
Future,Hold That Heat feat. Travis Scott,"[75.0, 0.744, 0.608, 2.0, -6.386, 1.0, 0.0442, 0.0295, 0.0, 0.397, 0.0692, 130.045, 221538.0]"
Future,Drankin N Smokin,"[75.0, 0.752, 0.658, 0.0, -6.297, 1.0, 0.342, 0.0421, 0.0, 0.0927, 0.387, 151.951, 213520.0]"
Future,Low Life feat. The Weeknd,"[74.0, 0.722, 0.331, 8.0, -7.789, 1.0, 0.0726, 0.337, 0.282, 0.146, 0.102, 143.961, 313547.0]"
Young Thug,Potion with Dua Lipa  Young Thug,"[88.0, 0.824, 0.697, 11.0, -4.869, 0.0, 0.0473, 0.158, 4.11e-05, 0.077, 0.757, 99.988, 214460.0]"
Young Thug,Way 2 Sexy with Future  Young Thug,"[82.0, 0.803, 0.597, 11.0, -6.035, 0.0, 0.141, 0.000619, 4.5e-06, 0.323, 0.331, 136.008, 257605.0]"
Young Thug,Go Crazy,"[78.0, 0.755, 0.578, 0.0, -8.932, 0.0, 0.145, 0.316, 0.0, 0.25, 0.581, 94.148, 176960.0]"
Young Thug,Solid feat. Drake,"[76.0, 0.887, 0.485, 11.0, -9.358, 0.0, 0.2, 0.0392, 0.0, 0.141, 0.328, 125.987, 215693.0]"
Young Thug,Livin It Up with Post Malone  AAP Rocky,"[76.0, 0.767, 0.313, 7.0, -12.059, 1.0, 0.0798, 0.838, 0.0, 0.105, 0.765, 82.582, 210907.0]"
Young Thug,Bubbly with Drake  Travis Scott,"[74.0, 0.91, 0.585, 11.0, -7.572, 0.0, 0.257, 0.0536, 0.0, 0.127, 0.599, 129.011, 165067.0]"
Young Thug,Bad Boy with Young Thug,"[72.0, 0.697, 0.674, 1.0, -6.326, 1.0, 0.0533, 0.00215, 0.0, 0.138, 0.198, 81.535, 157355.0]"
Young Thug,Hot feat. Gunna,"[71.0, 0.855, 0.651, 0.0, -8.044, 0.0, 0.235, 0.063, 0.0, 0.0772, 0.559, 111.997, 193027.0]"
Young Thug,Ski,"[71.0, 0.953, 0.621, 8.0, -7.638, 0.0, 0.221, 0.017, 0.0, 0.0398, 0.883, 123.016, 152333.0]"
Young Thug,FRANCHISE feat. Young Thug  M.I.A.,"[70.0, 0.835, 0.699, 8.0, -5.405, 0.0, 0.277, 0.00671, 0.0, 0.195, 0.547, 154.981, 202795.0]"
Jeremih,oui,"[77.0, 0.418, 0.724, 5.0, -3.724, 1.0, 0.0964, 0.213, 0.0, 0.112, 0.604, 78.521, 238320.0]"
Jeremih,Don't Tell 'Em,"[74.0, 0.856, 0.527, 2.0, -5.225, 1.0, 0.0997, 0.392, 0.0, 0.11, 0.386, 98.052, 266840.0]"
Jeremih,Down On Me,"[73.0, 0.7, 0.598, 2.0, -7.783, 1.0, 0.114, 0.0369, 0.0, 0.111, 0.594, 160.041, 228453.0]"
Jeremih,Planez,"[70.0, 0.688, 0.556, 6.0, -7.738, 1.0, 0.264, 0.7, 1.87e-06, 0.108, 0.416, 129.336, 240320.0]"
Jeremih,All The Time feat. Lil Wayne  Natasha Mosley,"[61.0, 0.795, 0.452, 9.0, -9.369, 0.0, 0.331, 0.58, 5.56e-06, 0.12, 0.0357, 109.953, 263786.0]"
Jeremih,Impatient,"[68.0, 0.697, 0.4, 5.0, -5.888, 0.0, 0.0511, 0.106, 0.0, 0.102, 0.443, 179.007, 245520.0]"
Jeremih,Birthday Sex,"[66.0, 0.679, 0.522, 7.0, -5.603, 0.0, 0.0427, 0.297, 0.0, 0.151, 0.445, 60.014, 226507.0]"
Jeremih,Love Don't Change,"[67.0, 0.539, 0.424, 11.0, -9.361, 1.0, 0.0406, 0.317, 0.0, 0.108, 0.17, 118.071, 256867.0]"
Jeremih,Remember Me,"[62.0, 0.529, 0.316, 1.0, -8.675, 0.0, 0.0518, 0.646, 7.97e-05, 0.106, 0.0386, 133.714, 175093.0]"
Jeremih,U 2 Luv feat. Jeremih,"[52.0, 0.626, 0.588, 6.0, -7.085, 1.0, 0.151, 0.138, 0.000376, 0.0959, 0.671, 177.719, 208216.0]"
Bryson Tiller,Don't,"[79.0, 0.765, 0.356, 11.0, -5.556, 0.0, 0.195, 0.223, 0.0, 0.0963, 0.189, 96.991, 198293.0]"
Bryson Tiller,What Would You Do?,"[78.0, 0.687, 0.895, 9.0, -2.983, 1.0, 0.0474, 0.149, 0.00592, 0.121, 0.686, 124.041, 174215.0]"
Bryson Tiller,Exchange,"[77.0, 0.525, 0.433, 6.0, -10.598, 1.0, 0.185, 0.107, 0.0, 0.135, 0.276, 160.108, 194613.0]"
Bryson Tiller,Playing Games with Bryson Tiller - Extended Version,"[76.0, 0.726, 0.408, 11.0, -6.606, 0.0, 0.0614, 0.603, 0.0, 0.225, 0.459, 115.918, 143227.0]"
Bryson Tiller,Right My Wrongs,"[74.0, 0.543, 0.449, 1.0, -8.065, 1.0, 0.0463, 0.345, 0.0, 0.157, 0.29, 132.609, 249320.0]"
Bryson Tiller,Gotta Move On feat. Bryson Tiller,"[71.0, 0.699, 0.679, 9.0, -4.528, 1.0, 0.0556, 0.55, 0.0, 0.0816, 0.56, 102.919, 160777.0]"
Bryson Tiller,THRU THE NIGHT feat. Bryson Tiller,"[70.0, 0.88, 0.58, 5.0, -5.032, 0.0, 0.0438, 0.016, 3.83e-06, 0.0936, 0.754, 124.003, 128409.0]"
Bryson Tiller,Sorrows,"[70.0, 0.633, 0.793, 5.0, -6.847, 0.0, 0.182, 0.148, 0.0, 0.867, 0.761, 109.093, 193702.0]"
Bryson Tiller,Need You Right Here feat. Bryson Tiller,"[69.0, 0.654, 0.519, 2.0, -8.593, 1.0, 0.057, 0.04, 0.0, 0.133, 0.119, 91.938, 191160.0]"
Bryson Tiller,Outta Time feat. Drake,"[68.0, 0.714, 0.582, 5.0, -7.272, 0.0, 0.0808, 0.0129, 0.0, 0.0774, 0.338, 92.819, 198822.0]"
French Montana,Unforgettable,"[82.0, 0.726, 0.769, 6.0, -5.043, 1.0, 0.123, 0.0293, 0.0101, 0.104, 0.733, 97.985, 233902.0]"
French Montana,Je M'appelle feat. Tion Wayne  French Montana - Remix,"[74.0, 0.761, 0.773, 11.0, -4.57, 1.0, 0.238, 0.152, 0.0, 0.63, 0.947, 141.174, 150213.0]"
