edge,edge_weight
"('21 Savage', 'Migos')",2.0
"('Mike WiLL Made-It', 'Migos')",0.0
"('Kodak Black', 'Migos')",0.0
"('Gunna', 'Migos')",0.0
"('Quality Control', 'Migos')",0.0
"('A$AP Mob', 'Migos')",0.0
"('Metro Boomin', 'Migos')",0.0
"('88GLAM', 'Migos')",0.0
"('Bobby Shmurda', 'Migos')",0.0
"('Lil Uzi Vert', 'Migos')",2.0
"('Quavo', 'Migos')",4.0
"('Famous Dex', 'Migos')",0.0
"('Young Nudy', 'Migos')",0.0
"('Kid Ink', 'Ty Dolla $ign')",0.0
"('Tory Lanez', 'Ty Dolla $ign')",3.0
"('Preme', 'Ty Dolla $ign')",0.0
"('August Alsina', 'Ty Dolla $ign')",0.0
"('Wale', 'Ty Dolla $ign')",0.0
"('Jacquees', 'Ty Dolla $ign')",0.0
"('French Montana', 'Ty Dolla $ign')",5.0
"('Young Money', 'Ty Dolla $ign')",0.0
"('Jeremih', 'Ty Dolla $ign')",25.0
"('DJ Drama', 'Ty Dolla $ign')",0.0
"('Mustard', 'Ty Dolla $ign')",4.0
"('Mike WiLL Made-It', 'Ty Dolla $ign')",0.0
"('Eric Bellinger', 'Ty Dolla $ign')",0.0
"('K CAMP', 'Ty Dolla $ign')",0.0
"('Trey Songz', 'Ty Dolla $ign')",10.0
"('2 Chainz', 'Ty Dolla $ign')",0.0
"('Tyga', 'Ty Dolla $ign')",0.0
"('Omarion', 'Ty Dolla $ign')",0.0
"('PnB Rock', 'Ty Dolla $ign')",0.0
"('Roy Woods', 'Ty Dolla $ign')",0.0
"('Young Money', 'Lil Wayne')",1.0
"('Rick Ross', 'Lil Wayne')",8.0
"('Birdman', 'Lil Wayne')",53.0
"('Yo Gotti', 'Lil Wayne')",1.0
"('Waka Flocka Flame', 'Lil Wayne')",0.0
"('Jeezy', 'Lil Wayne')",2.0
"('T.I.', 'Lil Wayne')",0.0
"('Gucci Mane', 'Lil Wayne')",2.0
"('2 Chainz', 'Lil Wayne')",25.0
"('Plies', 'Lil Wayne')",0.0
"('Juicy J', 'Lil Wayne')",9.0
"('Wale', 'Lil Wayne')",0.0
"('Meek Mill', 'Lil Wayne')",0.0
"('Ace Hood', 'Lil Wayne')",0.0
"('DJ Drama', 'Lil Wayne')",0.0
"('Fabolous', 'Lil Wayne')",7.0
"('Big Sean', 'Lil Wayne')",10.0
"('French Montana', 'Lil Wayne')",2.0
"('Mike Jones', 'Lil Wayne')",0.0
"('DJ Khaled', 'Lil Wayne')",0.0
"('Pusha T', 'Kanye West')",8.0
"('Kid Cudi', 'Kanye West')",5.0
"('Big Sean', 'Kanye West')",1.0
"('A$AP Rocky', 'Kanye West')",0.0
"('J. Cole', 'Kanye West')",0.0
"('ScHoolboy Q', 'Kanye West')",0.0
"('Frank Ocean', 'Kanye West')",16.0
"('Joey Bada$$', 'Kanye West')",0.0
"('Childish Gambino', 'Kanye West')",0.0
"('Earl Sweatshirt', 'Kanye West')",0.0
"('Chance the Rapper', 'Kanye West')",0.0
"('Lupe Fiasco', 'Kanye West')",4.0
"('JAY-Z', 'Kanye West')",123.0
"('KIDS SEE GHOSTS', 'Kanye West')",14.0
"('Vince Staples', 'Kanye West')",0.0
"('BROCKHAMPTON', 'Kanye West')",0.0
"('Freddie Gibbs', 'Kanye West')",0.0
"('Baby Keem', 'Kanye West')",0.0
"('Isaiah Rashad', 'Kanye West')",0.0
"('2 Chainz', 'Kanye West')",0.0
"('Freddie Gibbs', 'Pusha T')",0.0
"('Curren$y', 'Pusha T')",0.0
"('Big K.R.I.T.', 'Pusha T')",0.0
"('Clipse', 'Pusha T')",7.0
"('CyHi', 'Pusha T')",0.0
"('Jay Electronica', 'Pusha T')",0.0
"('Smoke DZA', 'Pusha T')",0.0
"('Ab-Soul', 'Pusha T')",0.0
"('Boldy James', 'Pusha T')",0.0
"('Danny Brown', 'Pusha T')",0.0
"('Earl Sweatshirt', 'Pusha T')",0.0
"('Jay Rock', 'Pusha T')",0.0
"('Vince Staples', 'Pusha T')",0.0
"('The Cool Kids', 'Pusha T')",0.0
"('Lupe Fiasco', 'Pusha T')",0.0
"('Action Bronson', 'Pusha T')",0.0
"('The Alchemist', 'Pusha T')",0.0
"('Benny The Butcher', 'Pusha T')",0.0
"('Rick Ross', 'Pusha T')",6.0
"('ScHoolboy Q', 'Pusha T')",0.0
"('WZRD', 'Kid Cudi')",2.0
"('Pusha T', 'Kid Cudi')",2.0
"('Lupe Fiasco', 'Kid Cudi')",0.0
"('Earl Sweatshirt', 'Kid Cudi')",0.0
"('ScHoolboy Q', 'Kid Cudi')",0.0
"('A$AP Rocky', 'Kid Cudi')",2.0
"('Big Sean', 'Kid Cudi')",0.0
"('Vince Staples', 'Kid Cudi')",0.0
"('A$AP Mob', 'Kid Cudi')",0.0
"('Joey Bada$$', 'Kid Cudi')",0.0
"('Isaiah Rashad', 'Kid Cudi')",0.0
"('Bas', 'Kid Cudi')",0.0
"('Mac Miller', 'Kid Cudi')",0.0
"('Chance the Rapper', 'Kid Cudi')",0.0
"('Freddie Gibbs', 'Kid Cudi')",0.0
"('Jay Rock', 'Kid Cudi')",0.0
"('Denzel Curry', 'Kid Cudi')",0.0
"('KIDS SEE GHOSTS', 'Kid Cudi')",14.0
"('Young Ratoo', 'Kid Cudi')",0.0
"('Childish Gambino', 'Kid Cudi')",0.0
"('Earl Sweatshirt', 'A$AP Rocky')",0.0
